Rank,Title,Type,Episodes,Start_Year,Score,Members
329,Kobayashi-san Chi no Maid Dragon: Samishigariya no Ryuu,Movie,1.0,2025,8.3,65030
330,Meitantei Conan Movie 06: Baker Street no Bourei,Movie,1.0,2002,8.3,86453
331,Mushen Ji,ONA,,2024,8.3,16388
332,Natsume Yuujinchou,TV,13.0,2008,8.3,594514
333,Ookami to Koushinryou II,TV,12.0,2009,8.3,524772
334,Shiguang Dailiren: Yingdu Pian,ONA,6.0,2024,8.3,73216
335,Tanoshii Muumin Ikka,TV,78.0,1990,8.3,34042
336,Beck,TV,26.0,2004,8.29,382233
337,Evangelion Movie 2: Ha,Movie,1.0,2009,8.29,601765
338,Katanagatari,TV,12.0,2010,8.29,598394
339,Kuroko no Basket 3rd Season,TV,25.0,2015,8.29,841748
340,Naruto: Shippuuden,TV,500.0,2007,8.29,2786977
341,Redline,Movie,1.0,2009,8.29,433148
342,Sakamichi no Apollon,TV,12.0,2012,8.29,419664
343,Steins;Gate: Oukoubakko no Poriomania,Special,1.0,2012,8.29,480481
344,Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12.0,2021,8.29,936861
345,Tokyo Godfathers,Movie,1.0,2003,8.29,335734
346,Wu Liuqi: Jiyi Suipian,ONA,10.0,2024,8.29,21841
347,Wu Shan Wu Xing: Xichuan Huan Zi Lin,ONA,4.0,2023,8.29,20016
348,Yuukoku no Moriarty Part 2,TV,13.0,2021,8.29,297377
349,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11.0,2011,8.28,1724479
350,Diamond no Ace: Act II,TV,52.0,2019,8.28,103939
351,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Movie,4.0,2019,8.28,30997
352,Given,TV,11.0,2019,8.28,647100
353,Kingdom 2nd Season,TV,39.0,2013,8.28,153708
354,Kino no Tabi: The Beautiful World,TV,13.0,2003,8.28,362055
355,Major: World Series,OVA,2.0,2011,8.28,40431
356,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,Movie,1.0,2023,8.28,199215
357,Tunshi Xingkong 2nd Season,ONA,26.0,2021,8.28,9505
358,Zombieland Saga Movie: Yumeginga Paradise,Movie,1.0,2025,8.28,42897
359,Doukyuusei,Movie,1.0,2016,8.27,300705
360,Gin no Saji 2nd Season,TV,11.0,2014,8.27,156360
361,Haikyuu!! Movie 4: Concept no Tatakai,Movie,1.0,2017,8.27,108430
362,Koukaku Kidoutai,Movie,1.0,1995,8.27,719193
363,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94.0,1996,8.27,528755
364,Seihantai na Kimi to Boku,TV,12.0,2026,8.27,250328
365,Shen Yin Wangzuo 2nd Season,ONA,182.0,2022,8.27,8172
366,Space☆Dandy 2nd Season,TV,13.0,2014,8.27,184456
367,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,TV,1.0,2015,8.27,294545
368,Tenki no Ko,Movie,1.0,2019,8.27,1149986
369,Dororo,TV,24.0,2019,8.26,1398252
370,Doupo Cangqiong 4th Season,ONA,24.0,2021,8.26,10633
371,Dr. Stone,TV,24.0,2019,8.26,1989685
372,Dr. Stone: Science Future,TV,12.0,2025,8.26,331482
373,Dr. Stone: Science Future Part 3,TV,13.0,2026,8.26,192966
374,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,TV,11.0,2023,8.26,303418
375,Fate/strange Fake,TV,13.0,2026,8.26,189753
376,Fate/Zero,TV,13.0,2011,8.26,1618657
377,Gintama: Shinyaku Benizakura-hen,Special,1.0,2010,8.26,48225
378,Hajime no Ippo: Mashiba vs. Kimura,OVA,1.0,2003,8.26,130304
379,Hotarubi no Mori e,Movie,1.0,2011,8.26,886575
380,Meitantei Conan: Episode One - Chiisaku Natta Meitantei,TV,1.0,2016,8.26,34902
381,Shirobako,TV,24.0,2014,8.26,474115
382,Tenkuu no Shiro Laputa,Movie,1.0,1986,8.26,544405
383,Tsubasa: Tokyo Revelations,OVA,3.0,2007,8.26,102355
384,Yi Nian Yong Heng 3rd Season,ONA,59.0,2024,8.26,4771
385,Youjo Senki II,TV,12.0,2026,8.26,262558
386,Yuru Camp△,TV,12.0,2018,8.26,549375
387,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26.0,2007,8.25,397384
388,Hajime no Ippo: Champion Road,TV,1.0,2003,8.25,159904
389,Hunter x Hunter: Greed Island Final,OVA,14.0,2004,8.25,158540
390,Koori no Jouheki,TV,14.0,2026,8.25,148890
391,Kuroshitsuji Movie: Book of the Atlantic,Movie,1.0,2017,8.25,229349
392,Nodame Cantabile,TV,23.0,2007,8.25,334628
393,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25.0,2016,8.25,2507762
